Address,Lat,Lon,Status,Status_Update_Time,Score
"Achterom 42, 3311 KC Dordrecht, Netherlands",51.8124378,4.6668522,1,2024-04-29 14:30:00,1
"Promenade en Kaden, Albert Heijn, De Marke 33, 9203 DV Drachten, Netherlands",53.1054398,6.1006193,1,2024-04-29 14:30:00,1
"Albert Heijn, Middelwyk 31, 9202 GN Drachten, Netherlands",53.1097163,6.1114557,1,2024-04-29 14:30:00,1
"Polenplein 24a, 6665 CN Driel, Netherlands",51.9609487,5.8133709,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Grotestraat 164B, 5151 BP Drunen, Netherlands",51.6872283,5.1357443,1,2024-04-29 14:30:00,1
"Albert Heijn, Mexicoplein 1, 5152 LC Drunen, Netherlands",51.6824071,5.1298235,1,2024-04-29 14:30:00,1
"Gall & Gall, Brink 47, 7991 CJ Dwingeloo, Netherlands",52.8326699,6.3661391,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Clarastraat 2, 6102 CD Pey, Netherlands",51.0985873,5.888043,1,2024-04-29 14:30:00,1
"Albert Heijn, Langemeerstraat 2b, 1135 JE Edam, Netherlands",52.5072507,5.0529753,1,2024-04-29 14:30:00,1
"Ardèchelaan 5, 5627 EM Eindhoven, Netherlands",51.4886213,5.4406004,1,2024-04-29 14:30:00,1
"Franz Leharplein 19, 5654 AZ Eindhoven, Netherlands",51.4231501,5.4626938,1,2024-04-29 14:30:00,1
"Albert Heijn XL, Limburglaan 2, 5652 AA Eindhoven, Netherlands",51.4350075,5.4515908,1,2024-04-29 14:30:00,1
"Albert Heijn, Meerzand 6, 5658 LJ Eindhoven, Netherlands",51.4429946,5.4093935,1,2024-04-29 14:30:00,1
"Sint Petrus Canisiuslaan 43, 5645 GC Eindhoven, Netherlands",51.4278847,5.5096605,1,2024-04-29 14:30:00,1
"Tarwelaan 70, 5632 KG Eindhoven, Netherlands",51.4769799,5.4931945,1,2024-04-29 14:30:00,1
"Winkelcentrum WoensXL, Albert Heijn XL, Winkelcentrum Woensel 119, 5625 AG Eindhoven, Netherlands",51.4682235,5.4740767,1,2024-04-29 14:30:00,1
"Geldmaat, Lange Nering 200, 8302 EZ Emmeloord, Netherlands",52.7110607,5.7629087,1,2024-04-29 14:30:00,1
"Etos, Noord Esmarkerrondweg 421-4, 7533 BL Enschede, Netherlands",52.219442,6.9288663,1,2024-04-29 14:30:00,1
"Albert Heijn, Rijnstraat 20, 7523 GG Enschede, Netherlands",52.2392717,6.8948563,1,2024-04-29 14:30:00,1
"Albert Heijn, Veldhoflanden 2, 7542 LA Enschede, Netherlands",52.1936296,6.9009165,1,2024-04-29 14:30:00,1
"Wesseler-nering, 7544 JL Enschede, Netherlands",52.1925101,6.8787801,1,2024-04-29 14:30:00,1
"Albert Heijn, Wethouder Nijhuisstraat 164, 7545 NM Enschede, Netherlands",52.2130288,6.861793,1,2024-04-29 14:30:00,1
"Albert Heijn, Zonstraat 28, 7521 HH Enschede, Netherlands",52.2287624,6.8592693,1,2024-04-29 14:30:00,1
"Albert Heijn, Pastoor Heimerikxstraat 3, 7468 EB Wierden, Netherlands",52.292551,6.5775805,1,2024-04-29 14:30:00,1
"Albert Heijn, Branderskamp 9, 3851 XV Ermelo, Netherlands",52.3017027,5.6316766,1,2024-04-29 14:30:00,1
"Albert Heijn, Cruijgenstraat 3, 5469 BS Erp, Netherlands",51.6011319,5.6076309,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, De Klef 22, 6644 CT Beuningen, Netherlands",51.8700734,5.7403183,1,2024-04-29 14:30:00,1
"Albert Heijn, Leeuwarderweg 8a, 8801 BV Franeker, Netherlands",53.187497,5.5505799,1,2024-04-29 14:30:00,1
"Albert Heijn Prinses Máximaplein, Prinses Máximaplein 8, 4191 XT Geldermalsen, Netherlands",51.8866584,5.2994431,1,2024-04-29 14:30:00,1
"Albert Heijn, Eindhovenseweg 40, 5662 AB Geldrop, Netherlands",51.4247752,5.5474609,1,2024-04-29 14:30:00,1
"Albert Heijn, Laan van Tolkien 220, 5663 SC Geldrop, Netherlands",51.4133428,5.5429871,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Markt 101A, 6161 GN Geleen, Netherlands",50.9706977,5.8290943,1,2024-04-29 14:30:00,1
"Albert Heijn, Kolveniershof 44, 4461 DB Goes, Netherlands",51.5030824,3.887308,1,2024-04-29 14:30:00,1
"Albert Heijn, Westhavendijk 103, 4463 AD Goes, Netherlands",51.5104473,3.8904958,1,2024-04-29 14:30:00,1
"Albert Heijn, De Hovel 19, 5051 NP Goirle, Netherlands",51.5212007,5.0697834,1,2024-04-29 14:30:00,1
"Albert Heijn, Koningsschild 11, 5051 TT Goirle, Netherlands",51.5192259,5.0565514,1,2024-04-29 14:30:00,1
"Albert Heijn, Weversplein 5, 7471 VS Goor, Netherlands",52.2313359,6.5851171,1,2024-04-29 14:30:00,1
B. van Dijkesingel 53 2809RB Gouda,52.01667,4.70833,1,2024-04-29 14:30:00,1
"Albert Heijn, Lekkenburg 3, 2804 XA Gouda, Netherlands",52.0320178,4.7043658,1,2024-04-29 14:30:00,1
"Albert Heijn, Markt 50, 2801 JL Gouda, Netherlands",52.0121033,4.7099167,1,2024-04-29 14:30:00,1
"Middenmolenplein 64, 2807 GZ Gouda, Netherlands",52.0115208,4.7434193,1,2024-04-29 14:30:00,1
"Albert Heijn, Langestraat 5, 3295 BJ 's-Gravendeel, Netherlands",51.7786689,4.617124,1,2024-04-29 14:30:00,1
"Albert Heijn, Amsterdamsestraat 9, 2587 CN The Hague, Netherlands",52.1118054,4.2877102,1,2024-04-29 14:30:00,1
"Albert Heijn, Conradkade 67, 2517 BS The Hague, Netherlands",52.0806052,4.2846234,1,2024-04-29 14:30:00,1
"Albert Heijn, De Savornin Lohmanplein 20, 2566 AC The Hague, Netherlands",52.066326,4.2453238,1,2024-04-29 14:30:00,1
"Albert Heijn, Escamplaan 281, 2547 EA The Hague, Netherlands",52.0620902,4.2700917,1,2024-04-29 14:30:00,1
"Albert Heijn, Fahrenheitstraat 709, 2561 DE The Hague, Netherlands",52.0802958,4.2679535,1,2024-04-29 14:30:00,1
"Albert Heijn, Frederik Hendriklaan 80, 2582 BE The Hague, Netherlands",52.0942335,4.2772763,1,2024-04-29 14:30:00,1
"Albert Heijn, Goeverneurplein 20, 2523 EC The Hague, Netherlands",52.0555477,4.3142656,1,2024-04-29 14:30:00,1
"Albert Heijn, Grote Marktstraat 55A, 2511 BH The Hague, Netherlands",52.0765906,4.3130487,1,2024-04-29 14:30:00,1
"Hildo Kroplaan 20, 2552 XS The Hague, Netherlands",52.0548804,4.2505367,1,2024-04-29 14:30:00,1
"Albert Heijn, Hofweg 11, 2511 AA The Hague, Netherlands",52.0782743,4.3128443,1,2024-04-29 14:30:00,1
"Albert Heijn, Keizerstraat 342, 2584 BP The Hague, Netherlands",52.1042267,4.2762462,1,2024-04-29 14:30:00,1
"Koningin Julianaplein, 2595 AA The Hague, Netherlands",52.0815252,4.3233129,1,2024-04-29 14:30:00,1
"Lorentzplein, Albert Heijn, Lorentzplein 76, 2522 EH The Hague, Netherlands",52.0609837,4.328559,1,2024-04-29 14:30:00,1
"Albert Heijn, Stationsplein 75, 2515 BX The Hague, Netherlands",52.070692,4.3222606,1,2024-04-29 14:30:00,1
"Ekoplaza, Stationsweg 36;16-30, 2515 BN The Hague, Netherlands",52.0736714,4.3187987,1,2024-04-29 14:30:00,1
"Albert Heijn, Steijnlaan 106, 2571 RH The Hague, Netherlands",52.0682756,4.2898381,1,2024-04-29 14:30:00,1
"Sumatrastraat 8, 2585 CS The Hague, Netherlands",52.091943,4.3043086,1,2024-04-29 14:30:00,1
"Albert Heijn, Theresiastraat 182, 2593 AV The Hague, Netherlands",52.0860188,4.3362981,1,2024-04-29 14:30:00,1
"Albert Heijn, Torenstraat 27, 2513 BN The Hague, Netherlands",52.0777507,4.3058926,1,2024-04-29 14:30:00,1
"Albert Heijn, Turfmarkt 103, 2511 DP The Hague, Netherlands",52.0789229,4.3207167,1,2024-04-29 14:30:00,1
"Albert Heijn, Valkenboslaan 173E, 2563 CK The Hague, Netherlands",52.072543,4.275068,1,2024-04-29 14:30:00,1
"Albert Heijn, Willem de Zwijgerlaan 51, 2582 EG The Hague, Netherlands",52.0908707,4.2738102,1,2024-04-29 14:30:00,1
"Albert Heijn, Oudelandstraat 16, 2691 CE 's-Gravenzande, Netherlands",52.0003396,4.1641856,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Spoorlaan 5, 6562 AL Groesbeek, Netherlands",51.7774269,5.9351854,1,2024-04-29 14:30:00,1
"Albert Heijn, Akerkhof 1, 9712 BA Groningen, Netherlands",53.2168297,6.5637245,1,2024-04-29 14:30:00,1
"Albert Heijn, B.S.F. von Suttnerstraat 1, 9728 WZ Groningen, Netherlands",53.187585,6.5548363,1,2024-04-29 14:30:00,1
"Floresplein 13, 9715 HH Groningen, Netherlands",53.2318331,6.5696415,1,2024-04-29 14:30:00,1
"Albert Heijn, Gedempte Zuiderdiep 14, 9711 HG Groningen, Netherlands",53.2153885,6.5702582,1,2024-04-29 14:30:00,1
"Albert Heijn, Nieuwe Ebbingestraat 73, 9712 NG Groningen, Netherlands",53.2246121,6.5626811,1,2024-04-29 14:30:00,1
"Albert Heijn Jan Linders, Kloosterstraat 70, 5971 BD Grubbenvorst, Netherlands",51.4203388,6.1453361,1,2024-04-29 14:30:00,1
"Clothildestraat 551, 2033 LW Haarlem, Netherlands",52.3705537,4.6472093,1,2024-04-29 14:30:00,1
"Albert Heijn, Marsmanplein 222, 2025 DV Haarlem, Netherlands",52.4170393,4.6471962,1,2024-04-29 14:30:00,1
"Albert Heijn, Soendaplein 18, 2022 BA Haarlem, Netherlands",52.3984379,4.6451453,1,2024-04-29 14:30:00,1
"Albert Heijn Heerschap, Linsenhof 5, 6081 GM Haelen, Netherlands",51.234638,5.9599683,1,2024-04-29 14:30:00,1
"Albert Heijn, Vogelenzang 95, 4661 JD Bergen op Zoom, Netherlands",51.522579,4.2728666,1,2024-04-29 14:30:00,1
"Albert Heijn, Vogelenzang 95, 4661 JD Bergen op Zoom, Netherlands",51.522579,4.2728666,1,2024-04-29 14:30:00,1
"Albert Heijn, Sportlaan 5, 8084 VA 't Harde, Netherlands",52.4150363,5.8821308,1,2024-04-29 14:30:00,1
